GeneID	log2FC	padj
AT1G01010	0.270926189614277	0.755607721393004
AT1G01020	-0.229298884513337	0.726777391464805
AT1G01030	-1.84881543170118	0.238278008427297
AT1G01040	0.730869665392123	0.651536576304185
AT1G01050	-0.546282434213864	0.39680699344828
AT1G01060	0.567165907806652	0.831406441765927
AT1G01070	0.251434959557067	0.786636116802857
AT1G01080	-1.55878622419823	0.00897621755094985
AT1G01090	-0.293413085349368	0.787741769025221
AT1G01100	-0.833717816947039	0.330044153116337
AT1G01120	-1.73350811342757	0.112847414508254
AT1G01140	-1.06635887973208	0.189587743694848
AT1G01160	0.155637237460493	0.748013916709817
AT1G01170	-1.48163417204711	0.0206825552911099
AT1G01180	-0.458876006628888	0.694557443285997
AT1G01190	1.74033406975062	0.390397256989014
AT1G01200	-2.29146636161307	0.15200095985121
AT1G01210	-0.934848834751297	0.13824693370844
AT1G01220	0.0427369857799494	0.977921455876489
AT1G01225	-0.702142944769875	0.568269396860652
AT1G01230	-0.135930706164679	0.91212814052879
AT1G01240	-0.874212300521176	0.412130276449653
AT1G01250	-1.74904575652208	0.216755711901503
AT1G01260	0.853857854524963	0.288628782454814
AT1G01290	-0.342209011250805	0.618905998480826
AT1G01300	-0.784089996914144	0.268774961141909
AT1G01320	0.0544831601744259	0.983096521019701
AT1G01340	2.03556476831313	0.00115771736117541
AT1G01350	0.319945944853428	0.439601189472618
AT1G01360	-0.545845231313459	0.445137048623929
AT1G01370	1.60429564503761	0.181801341194944
AT1G01390	-0.125422778422501	0.94141128246469
AT1G01420	-1.11468458844223	0.307638586082811
AT1G01430	-2.40401816553991	0.00178772315609389
AT1G01440	1.39481494475379	0.103624032436683
AT1G01450	-0.0679330039842975	0.959260221257194
AT1G01470	-0.678429854943378	0.669884692010416
AT1G01480	0.887722242260621	0.661059434266626
AT1G01490	-0.769071697686275	0.363410611819265
AT1G01500	-0.614144115602846	0.229777349095958
AT1G01510	-0.086605588387204	0.953874992079945
AT1G01520	-0.760309723221043	0.780452355174582
AT1G01540	0.1562746567623	0.865334642087182
AT1G01550	0.627654817964479	0.209437508482359
AT1G01560	2.88867974368691	0.000137149014314178
AT1G01570	0.31744828663323	0.818562220668451
AT1G01580	-1.04776275214135	0.598546207352838
AT1G01600	0.255800579624095	0.90065401367067
AT1G01610	-0.637691664288858	0.730599975466682
AT1G01620	-1.53320112576132	0.109947322077432
AT1G01630	-0.71718919164749	0.212990241153056
AT1G01640	0.569368234744775	0.565091564238445
AT1G01650	-0.231685164402299	0.836977367720288
AT1G01660	-0.0385136985858092	0.978817244687269
AT1G01670	0.0811303319713129	0.938053044503624
AT1G01680	4.43473161257924	5.4770227200105e-07
AT1G01690	2.43641404076764	0.0114480442276666
AT1G01700	-0.137130484629537	0.92368157694414
AT1G01710	-0.00826928361864885	0.994270979689905
AT1G01715	-0.689366736447344	0.58563927973634
AT1G01720	-0.521598539494353	NA
AT1G01725	-1.07588813818819	0.306074887429756
AT1G01730	0.228830666698628	0.733553752958744
AT1G01740	-1.05969558575424	0.214868407973241
AT1G01760	-0.088360713457001	0.955384840864194
AT1G01770	-0.479019659320065	0.698826053597712
AT1G01780	0.0876251454887729	0.948447653377497
AT1G01790	0.183816793972345	0.909809848926267
AT1G01800	-0.645447708877539	0.331797842116748
AT1G01820	-0.0470505201250247	0.960372822980662
AT1G01830	-0.841911327851481	0.278515512574483
AT1G01840	-2.80736484164067	0.0709148082340891
AT1G01860	-2.04701900707736	0.00761385110043567
AT1G01900	0.945653617663056	0.673935094537888
AT1G01910	-0.103489537937806	0.890616026234899
AT1G01920	-0.0693098027290786	0.938797712503204
AT1G01930	0.0385240864195273	0.960756243371811
AT1G01940	0.0552032917079141	0.960781085280031
AT1G01950	0.562189102690582	0.581894610534327
AT1G01960	0.665282362674091	0.629065925270971
AT1G01970	-1.18518090969316	0.0681713441807752
AT1G01990	-0.276890750166012	0.690576631291436
AT1G02000	-0.205474446320844	0.872671538969275
AT1G02010	-0.03748597731398	0.981327235132642
AT1G02020	0.730000667591806	0.639523968672351
AT1G02050	0.370929908621441	0.830320111298687
AT1G02060	0.361491954827707	0.845819456652425
